,country_code,country_name,year,skill_type_digital,pen_percentage
185,de,Germany,2017,digital-basic,3.58490566
186,de,Germany,2017,digital-applied,14.8427673
187,de,Germany,2017,digital-software_and_hardware,9.748427673
188,de,Germany,2017,digital-disruptive,7.735849057
189,de,Germany,2017,other,64.08805031
190,de,Germany,2018,digital-basic,3.580067731
191,de,Germany,2018,digital-applied,14.36865022
192,de,Germany,2018,digital-software_and_hardware,11.51427189
193,de,Germany,2018,digital-disruptive,10.15965167
194,de,Germany,2018,other,60.37735849
195,de,Germany,2019,digital-basic,3.536184211
196,de,Germany,2019,digital-applied,14.14473684
197,de,Germany,2019,digital-software_and_hardware,10.77302632
198,de,Germany,2019,digital-disruptive,10.69078947
199,de,Germany,2019,other,60.85526316
200,de,Germany,2020,digital-basic,3.850345078
201,de,Germany,2020,digital-applied,13.73047584
202,de,Germany,2020,digital-software_and_hardware,9.807482746
203,de,Germany,2020,digital-disruptive,10.02542681
204,de,Germany,2020,other,62.58626952
205,de,Germany,2021,digital-basic,4.559539619
206,de,Germany,2021,digital-applied,13.32447986
207,de,Germany,2021,digital-software_and_hardware,10.35856574
208,de,Germany,2021,digital-disruptive,9.871624613
209,de,Germany,2021,other,61.88579017
210,dk,Denmark,2015,digital-basic,3.094777563
211,dk,Denmark,2015,digital-applied,11.41199226
212,dk,Denmark,2015,digital-software_and_hardware,7.350096712
213,dk,Denmark,2015,digital-disruptive,4.448742747
214,dk,Denmark,2015,other,73.69439072
215,dk,Denmark,2016,digital-basic,3.420523139
216,dk,Denmark,2016,digital-applied,12.67605634
217,dk,Denmark,2016,digital-software_and_hardware,7.243460765
218,dk,Denmark,2016,digital-disruptive,4.024144869
219,dk,Denmark,2016,other,72.63581489
220,dk,Denmark,2017,digital-basic,5.263157895
221,dk,Denmark,2017,digital-applied,13.81578947
222,dk,Denmark,2017,digital-software_and_hardware,7.894736842
223,dk,Denmark,2017,digital-disruptive,5.592105263
224,dk,Denmark,2017,other,67.43421053
225,dk,Denmark,2018,digital-basic,5.280528053
226,dk,Denmark,2018,digital-applied,9.900990099
227,dk,Denmark,2018,digital-software_and_hardware,7.590759076
228,dk,Denmark,2018,digital-disruptive,4.290429043
229,dk,Denmark,2018,other,72.93729373
230,dk,Denmark,2019,digital-basic,4.705882353
231,dk,Denmark,2019,digital-applied,8.62745098
232,dk,Denmark,2019,digital-software_and_hardware,7.058823529
233,dk,Denmark,2019,digital-disruptive,6.274509804
234,dk,Denmark,2019,other,73.33333333
235,dk,Denmark,2020,digital-basic,2.834008097
236,dk,Denmark,2020,digital-applied,6.882591093
237,dk,Denmark,2020,digital-software_and_hardware,7.692307692
238,dk,Denmark,2020,digital-disruptive,6.072874494
239,dk,Denmark,2020,other,76.51821862
240,dk,Denmark,2021,digital-basic,2.307692308
241,dk,Denmark,2021,digital-applied,8.461538462
242,dk,Denmark,2021,digital-software_and_hardware,12.30769231
243,dk,Denmark,2021,digital-disruptive,12.30769231
244,dk,Denmark,2021,other,64.61538462
245,es,Spain,2015,digital-basic,7.610017019
246,es,Spain,2015,digital-applied,13.42086069
247,es,Spain,2015,digital-software_and_hardware,8.242159008
248,es,Spain,2015,digital-disruptive,3.768538779
249,es,Spain,2015,other,66.95842451
250,es,Spain,2016,digital-basic,7.974388824
251,es,Spain,2016,digital-applied,13.1548312
252,es,Spain,2016,digital-software_and_hardware,8.498253783
253,es,Spain,2016,digital-disruptive,4.016298021
254,es,Spain,2016,other,66.35622817
255,es,Spain,2017,digital-basic,8.299711816
256,es,Spain,2017,digital-applied,13.31412104
257,es,Spain,2017,digital-software_and_hardware,8.760806916
258,es,Spain,2017,digital-disruptive,4.265129683
259,es,Spain,2017,other,65.36023055
260,es,Spain,2018,digital-basic,8.146341463
261,es,Spain,2018,digital-applied,12.58536585
262,es,Spain,2018,digital-software_and_hardware,7.512195122
263,es,Spain,2018,digital-disruptive,4.926829268
264,es,Spain,2018,other,66.82926829
265,es,Spain,2019,digital-basic,5.237711523
266,es,Spain,2019,digital-applied,12.16760677
267,es,Spain,2019,digital-software_and_hardware,7.775987107
268,es,Spain,2019,digital-disruptive,6.567284448
269,es,Spain,2019,other,68.25141015
270,es,Spain,2020,digital-basic,2.871536524
271,es,Spain,2020,digital-applied,10.17632242
272,es,Spain,2020,digital-software_and_hardware,7.002518892
273,es,Spain,2020,digital-disruptive,5.994962217
274,es,Spain,2020,other,73.95465995
275,es,Spain,2021,digital-basic,3.556658395
276,es,Spain,2021,digital-applied,12.65508685
277,es,Spain,2021,digital-software_and_hardware,8.76757651
278,es,Spain,2021,digital-disruptive,6.120760959
279,es,Spain,2021,other,68.89991729
280,fr,France,2015,digital-basic,4.918032787
281,fr,France,2015,digital-applied,11.74269423
282,fr,France,2015,digital-software_and_hardware,6.985032074
283,fr,France,2015,digital-disruptive,4.579472559
284,fr,France,2015,other,71.77476835
285,fr,France,2016,digital-basic,5.477961183
286,fr,France,2016,digital-applied,10.97406131
287,fr,France,2016,digital-software_and_hardware,7.237438781
288,fr,France,2016,digital-disruptive,4.897514965
289,fr,France,2016,other,71.41302376
290,fr,France,2017,digital-basic,6.936114733
291,fr,France,2017,digital-applied,11.0821382
292,fr,France,2017,digital-software_and_hardware,7.588005215
293,fr,France,2017,digital-disruptive,5.658409387
294,fr,France,2017,other,68.73533246
295,fr,France,2018,digital-basic,7.281229125
296,fr,France,2018,digital-applied,9.55243821
297,fr,France,2018,digital-software_and_hardware,6.657759964
298,fr,France,2018,digital-disruptive,6.479625919
299,fr,France,2018,other,70.02894678
300,fr,France,2019,digital-basic,4.862366888
301,fr,France,2019,digital-applied,8.438818565
302,fr,France,2019,digital-software_and_hardware,6.228651798
303,fr,France,2019,digital-disruptive,6.42957605
304,fr,France,2019,other,74.0405867
305,fr,France,2020,digital-basic,3.011785247
306,fr,France,2020,digital-applied,7.507638586
307,fr,France,2020,digital-software_and_hardware,6.481885639
308,fr,France,2020,digital-disruptive,6.285464863
